Attraction,Address,Phone,website,is_indoor,water,play_sweat_it_out,small_kid_friendly_under_10,big_kid_friendly_over_10,culture,nature,adult_only
Mary T Meagher Aquatic Center,201 reservoir ave,502-555-1234,www.uofl.edu,1,1,1,1,1,0,0,0
Downtown YMCA,555 s 2nd street,502-555-1235,www.uofl.edu,1,1,1,1,1,0,0,0
Southeast YMCA,5930 six mile lane,502-555-1236,www.uofl.edu,0,1,1,1,1,0,0,0
Plainview Swim Center,10235 Timberwood Cir,502-555-1237,www.uofl.edu,0,1,1,1,1,0,0,0
Riverveiw Park,8202 greenwood rd,502-555-1238,www.uofl.edu,0,1,1,1,0,0,1,0
Iroquois Park,2120 rundill rd,502-555-1239,www.uofl.edu,0,1,1,1,0,0,1,0
Kentucky Kingdom,937 phillips lan,502-555-1240,www.uofl.edu,0,1,1,1,1,0,0,0
Activate  Louisville,2510 hurstborne gem ln,502-555-1241,www.uofl.edu,1,0,1,1,1,0,0,0
Muhammad Ali Center,144 n 6th st,502-555-1242,www.uofl.edu,1,0,0,1,1,1,0,0
Kentucky Derby Museum,704 central ave,502-555-1243,www.uofl.edu,1,0,0,1,1,1,0,0
Churchill Downs,700 central ave,502-555-1244,www.uofl.edu,0,0,1,1,1,1,0,0
Lynn Family Stadium,,502-555-1245,www.uofl.edu,0,0,1,1,1,0,0,0
Louisville Bats Stadium,401 e main st,502-555-1246,www.uofl.edu,0,0,1,1,1,0,0,0
Norton Track and Field Center,3029 muhammad ali,502-555-1247,www.uofl.edu,0,0,1,1,1,0,0,0
Kentucky Science Center,727 w main st,502-555-1248,www.uofl.edu,1,0,1,1,1,0,0,0
Slugger Museum,800 w main st,502-555-1249,www.uofl.edu,1,0,1,1,1,1,0,0
Mitcher's Fort Nelson Distillery,801 w main st,502-555-1250,www.uofl.edu,1,0,0,0,0,1,0,1
Angel's Envy Distillery,500 e main st,502-555-1251,www.uofl.edu,1,0,0,0,0,1,0,1
Old Forester Distillery,119 w main st,502-555-1252,www.uofl.edu,1,0,0,0,0,1,0,1
Kentucky Museum of Arts and Crafts,715 w main st,502-555-1253,www.uofl.edu,1,0,1,1,1,1,0,0
